dataset_index,episode_index,frame_index,target_gripper,predicted_gripper,target_is_close,predicted_is_close,target_delta_x,target_delta_y,target_delta_z,predicted_delta_x,predicted_delta_y,predicted_delta_z
44,0,44,1.0,1.004103422164917,0,0,0.0,0.0,0.0,-0.008401925675570965,0.0008078066166490316,1.035757064819336
45,0,45,1.0,1.0035332441329956,0,0,0.0,0.0,0.0,-0.007901270873844624,0.0006781000993214548,1.032638669013977
46,0,46,1.0,1.0005152225494385,0,0,0.0,0.0,0.0,-0.00675338227301836,0.0004204619908705354,1.021050214767456
47,0,47,1.0,0.9949520826339722,0,0,0.0,0.0,0.0,-0.008729876950383186,-0.0004574958002194762,1.0651806592941284
48,0,48,1.0,0.9997013211250305,0,0,0.0,0.0,0.0,-0.00939145777374506,-0.00036732861190102994,1.0735825300216675
49,0,49,1.0,1.00197172164917,0,0,0.0,0.0,0.0,-0.008516133762896061,-0.0004536325577646494,1.051315426826477
50,0,50,1.0,1.0002504587173462,0,0,0.0,0.0,0.0,-0.009283102117478848,0.000545983319170773,1.0662468671798706
51,0,51,1.0,1.000575304031372,0,0,0.0,0.0,1.0,-0.010248000733554363,0.00030420682742260396,1.0706977844238281
52,0,52,1.0,0.9965863823890686,0,0,0.0,0.0,1.0,-0.009878686629235744,-0.00019641435937955976,1.0943306684494019
53,0,53,1.0,0.9938941597938538,0,0,0.0,0.0,1.0,-0.011089527048170567,-0.00074384780600667,1.0883032083511353
54,0,54,1.0,1.0066782236099243,0,0,0.0,0.0,1.0,-0.007769457064568996,0.0008487680461257696,1.0618312358856201
55,0,55,1.0,1.0008090734481812,0,0,0.0,0.0,1.0,-0.006468723528087139,0.0019062511855736375,1.0612092018127441
56,0,56,1.0,1.0040422677993774,0,0,0.0,0.0,1.0,-0.004424057435244322,0.002275696024298668,1.049113154411316
57,1,0,1.0,0.9986533522605896,0,0,0.0,0.0,0.0,-0.0014632848324254155,0.0021220152266323566,-0.048137180507183075
58,1,1,1.0,0.9986944198608398,0,0,0.0,0.0,0.0,-0.0014509129105135798,0.002025510184466839,-0.047245293855667114
59,1,2,1.0,0.9977930784225464,0,0,0.0,0.0,0.0,-0.001513626310043037,0.0020241187885403633,-0.046882372349500656
60,1,3,1.0,0.9977973699569702,0,0,0.0,0.0,0.0,-0.0015063908649608493,0.0020245329942554235,-0.046839065849781036
61,1,4,1.0,0.997999906539917,0,0,0.0,0.0,0.0,-0.0017109260661527514,0.0019029673421755433,-0.0452767089009285
62,1,5,1.0,0.9979983568191528,0,0,0.0,0.0,0.0,-0.0017098538810387254,0.0019028078531846404,-0.04526011645793915
63,1,6,1.0,0.9982689619064331,0,0,0.0,0.0,0.0,-0.0015673103043809533,0.001925584045238793,-0.044237200170755386
64,1,7,1.0,0.9982682466506958,0,0,0.0,0.0,0.0,-0.0015672511653974652,0.0019254861399531364,-0.044232022017240524
65,1,8,1.0,0.998473048210144,0,0,0.0,0.0,0.0,-0.001734827528707683,0.0019043587381020188,-0.044294826686382294
66,1,9,1.0,0.9984728097915649,0,0,0.0,0.0,0.0,-0.0017348163528367877,0.0019043139182031155,-0.044293247163295746
67,1,10,1.0,0.9983159303665161,0,0,0.0,0.0,0.0,-0.0017027779249474406,0.0017969413893297315,-0.04417097195982933
68,1,11,1.0,0.9983159303665161,0,0,0.0,0.0,0.0,-0.0017027977155521512,0.0017968937754631042,-0.04417053237557411
69,1,12,1.0,0.9983158111572266,0,0,0.0,0.0,0.0,-0.0017028249567374587,0.001796899363398552,-0.04417039826512337
70,1,13,1.0,0.9983158111572266,0,0,0.0,0.0,0.0,-0.0017028165748342872,0.0017969021573662758,-0.044170282781124115
71,1,14,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.001702814712189138,0.0017968853935599327,-0.04417019337415695
72,1,15,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.001702801906503737,0.001796896569430828,-0.044170133769512177
73,1,16,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028198344632983,0.0017968881875276566,-0.04417010396718979
74,1,17,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028182046487927,0.001796896569430828,-0.0441700704395771
75,1,18,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.0017028242582455277,0.0017968770116567612,-0.04417015612125397
76,1,19,1.0,0.9983157515525818,0,0,0.0,0.0,0.0,-0.001702839625068009,0.001796879805624485,-0.04417014867067337
77,1,20,1.0,0.9994902610778809,0,0,1.0,0.0,0.0,-0.0017627821071073413,0.0017889406299218535,-0.04591624438762665
78,1,21,1.0,1.0025646686553955,0,0,0.0,0.0,0.0,-0.0019170033046975732,0.0017001703381538391,-0.04713456332683563
79,1,22,1.0,1.0020672082901,0,0,0.0,0.0,0.0,-0.0023811329156160355,0.0025264504365622997,-0.050440043210983276
80,1,23,1.0,1.0011240243911743,0,0,0.0,0.0,0.0,-0.001930893282406032,0.0019854081328958273,-0.05473483353853226
81,1,24,1.0,1.0021721124649048,0,0,0.0,0.0,0.0,-0.001864972640760243,0.0020025295671075583,-0.05121568590402603
82,1,25,1.0,1.0019876956939697,0,0,0.0,0.0,0.0,-0.0018596689915284514,0.0020903702825307846,-0.051027752459049225
83,1,26,1.0,1.001582145690918,0,0,0.0,0.0,0.0,-0.002123586367815733,0.0018689122516661882,-0.05043594911694527
84,1,27,1.0,1.001578688621521,0,0,0.0,0.0,0.0,-0.0021254797466099262,0.0018688254058361053,-0.05045842006802559
85,1,28,1.0,1.0019832849502563,0,0,0.0,0.0,0.0,-0.002055882941931486,0.002008019248023629,-0.050977692008018494
86,1,29,1.0,1.001983880996704,0,0,0.0,0.0,0.0,-0.0020562061108648777,0.0020081563852727413,-0.05098751187324524
87,1,30,1.0,1.0020008087158203,0,0,0.0,0.0,0.0,-0.0021374435164034367,0.0020869551226496696,-0.05133310332894325
88,1,31,1.0,1.002001166343689,0,0,0.0,0.0,0.0,-0.0021374933421611786,0.0020870473235845566,-0.05133650079369545
89,1,32,1.0,1.002089262008667,0,0,0.0,0.0,0.0,-0.0022138128988444805,0.0021142971236258745,-0.05184490233659744
90,1,33,1.0,1.0020893812179565,0,0,0.0,0.0,0.0,-0.002213813830167055,0.0021143420599400997,-0.05184592679142952
91,1,34,1.0,1.0020406246185303,0,0,-1.0,0.0,0.0,-0.0019413119880482554,0.0026662489399313927,-0.05309443920850754
92,1,35,1.0,1.0022742748260498,0,0,0.0,0.0,0.0,-0.0021418738178908825,0.0019089498091489077,-0.040210139006376266
93,1,36,1.0,1.0001050233840942,0,0,0.0,0.0,0.0,-0.0024418323300778866,0.0016089477576315403,-0.04716293886303902
94,1,37,1.0,1.0005888938903809,0,0,0.0,0.0,0.0,-0.0021477676928043365,0.0018166074296459556,-0.04516778141260147
95,1,38,1.0,0.9983817338943481,0,0,0.0,0.0,0.0,-0.001428931369446218,0.0018341878894716501,-0.04582475498318672
96,1,39,1.0,0.9986941814422607,0,0,0.0,0.0,0.0,-0.0014012922765687108,0.0019000672036781907,-0.04567907378077507
97,1,40,1.0,0.9986620545387268,0,0,0.0,0.0,0.0,-0.0015234999591484666,0.001941078924573958,-0.044778671115636826
98,1,41,1.0,0.9986616373062134,0,0,0.0,0.0,0.0,-0.0015235968166962266,0.0019395784474909306,-0.04475158452987671
99,1,42,1.0,0.9981151819229126,0,0,0.0,0.0,0.0,-0.001448108465410769,0.0019275241065770388,-0.043121080845594406
100,1,43,1.0,0.9981144070625305,0,0,0.0,0.0,0.0,-0.001448373426683247,0.0019272161880508065,-0.04311083257198334
101,1,44,1.0,1.0004264116287231,0,0,0.0,0.0,-1.0,-0.0015578166348859668,0.0019017747836187482,-0.04335847496986389
102,1,45,1.0,1.0029596090316772,0,0,0.0,0.0,-1.0,-0.0012528510997071862,0.0020664632320404053,-0.03866412118077278
103,1,46,1.0,1.0044374465942383,0,0,0.0,0.0,-1.0,-0.002680070698261261,0.0015476931584998965,-0.04393910989165306
104,1,47,1.0,1.0070602893829346,0,0,0.0,0.0,-1.0,-0.003226055298000574,0.0017616627737879753,-0.04962299391627312
105,1,48,1.0,1.0066039562225342,0,0,0.0,0.0,-1.0,-0.0024387123994529247,0.002484915079548955,-0.024330560117959976
106,1,49,1.0,1.0054947137832642,0,0,0.0,0.0,-1.0,-0.003490686882287264,0.0014640346635133028,-0.026992246508598328
107,1,50,1.0,1.0059764385223389,0,0,0.0,0.0,-1.0,-0.0032498780637979507,0.002218167530372739,-0.029885582625865936
108,1,51,1.0,1.0066837072372437,0,0,0.0,0.0,-1.0,-0.003275942523032427,0.0023330789990723133,-0.028481965884566307
109,1,52,1.0,1.0064231157302856,0,0,0.0,0.0,0.0,-0.0028424090705811977,0.002752922475337982,-0.024045107886195183
110,1,53,1.0,1.006419062614441,0,0,0.0,0.0,0.0,-0.0028403582982718945,0.0027510495856404305,-0.024004178121685982
111,1,54,1.0,1.0077532529830933,0,0,0.0,0.0,0.0,-0.0028398167341947556,0.002391648944467306,-0.023557109758257866
112,1,55,1.0,1.007752776145935,0,0,0.0,0.0,0.0,-0.0028396854177117348,0.00239150901325047,-0.023554407060146332
113,1,56,1.0,1.007813572883606,0,0,0.0,0.0,0.0,-0.002631538547575474,0.0023262735921889544,-0.02345006726682186
114,1,57,2.0,1.0078133344650269,1,0,0.0,0.0,0.0,-0.002631476614624262,0.002326226094737649,-0.02344866283237934
115,1,58,2.0,1.0095856189727783,1,0,0.0,0.0,0.0,-0.0018815583316609263,0.0010322825983166695,0.05132647231221199
116,1,59,2.0,1.007968783378601,1,0,0.0,0.0,0.0,-0.002867298200726509,0.0007104644319042563,0.09117178618907928
117,1,60,2.0,1.0022873878479004,1,0,0.0,0.0,0.0,-0.0027819108217954636,0.0013340623117983341,0.5275633335113525
118,1,61,2.0,1.002537727355957,1,0,0.0,0.0,0.0,-0.004959821701049805,0.001092056161724031,0.7337297201156616
119,1,62,2.0,1.0005719661712646,1,0,0.0,0.0,0.0,-0.007953227497637272,-0.00015870589413680136,0.9968212842941284
120,1,63,1.0,1.0019627809524536,0,0,0.0,0.0,0.0,-0.008598238229751587,7.19904201105237e-05,1.0284994840621948
121,1,64,1.0,0.9996586441993713,0,0,0.0,0.0,0.0,-0.008305075578391552,0.001160421408712864,1.044047236442566
122,1,65,1.0,1.0019611120224,0,0,0.0,0.0,1.0,-0.008621571585536003,0.0013594839256256819,1.0449825525283813
123,1,66,1.0,0.9976471662521362,0,0,0.0,0.0,1.0,-0.01004810445010662,-0.0022411509416997433,1.1109024286270142
124,1,67,1.0,0.9971131086349487,0,0,0.0,0.0,1.0,-0.009587008506059647,-0.0003576789458747953,1.0636858940124512
125,1,68,1.0,1.002406358718872,0,0,0.0,0.0,1.0,-0.009748440235853195,6.59072320559062e-05,1.0712882280349731
126,1,69,1.0,0.9995371103286743,0,0,0.0,0.0,1.0,-0.007704128511250019,0.0012344609713181853,1.0551928281784058
127,1,70,1.0,1.0035072565078735,0,0,0.0,0.0,1.0,-0.003913016524165869,0.0026840504724532366,1.0392805337905884
128,2,0,1.0,0.9986533522605896,0,0,0.0,0.0,0.0,-0.0014632848324254155,0.0021220152266323566,-0.048137180507183075
129,2,1,1.0,0.9986944198608398,0,0,0.0,0.0,0.0,-0.0014509129105135798,0.002025510184466839,-0.047245293855667114
130,2,2,1.0,0.9977930784225464,0,0,0.0,0.0,0.0,-0.001513626310043037,0.0020241187885403633,-0.046882372349500656
131,2,3,1.0,0.9977973699569702,0,0,0.0,0.0,0.0,-0.0015063908649608493,0.0020245329942554235,-0.046839065849781036
132,2,4,1.0,0.997999906539917,0,0,0.0,0.0,0.0,-0.0017109260661527514,0.0019029673421755433,-0.0452767089009285
